sgRNA,gene,counts
1,ctl,1530
2,ctl,7370
3,ctl,4315
4,ctl,5082
5,ctl,3026
6,ctl,9889
7,ctl,4404
8,ctl,7594
9,ctl,12430
10,ctl,17637
11,ctl,7519
12,ctl,10292
13,ctl,8820
14,ctl,5287
15,ctl,5049
16,ctl,4121
17,ctl,14731
18,ctl,2287
19,ctl,6596
20,ctl,9714
21,ctl,7182
22,ctl,10158
23,ctl,10911
24,ctl,4383
25,PIK3CA,3467
26,PIK3CA,4646
27,PIK3CA,5403
28,PIK3CB,4525
29,PIK3CB,6489
30,PIK3CB,4854
31,mTOR,11399
32,mTOR,6678
33,mTOR,2773
34,AKT1,14888
35,AKT1,7298
36,AKT1,5765
37,AKT2,10028
38,AKT2,6938
39,AKT2,5875
40,AKT3,8973
41,AKT3,8352
42,AKT3,18669
43,PLK1,4711
44,PLK1,9197
45,PLK1,13634
46,PLK4,12946
47,PLK4,6304
48,PLK4,14041
49,EGFR,3162
50,EGFR,3359
51,EGFR,8613
52,ERBB2,5894
53,ERBB2,8050
54,ERBB2,7029
55,ESR1,6878
56,ESR1,5672
57,ESR1,8132
58,SMO,12449
59,SMO,9176
60,SMO,4741
61,LEF1,2703
62,LEF1,6151
63,LEF1,9502
64,APH1A,10154
65,APH1A,15340
66,APH1A,7540
67,ERBB3,13460
68,ERBB3,4182
69,ERBB3,11182
70,ERBB4,9006
71,ERBB4,6072
72,ERBB4,10484
73,MET,4197
74,MET,11028
75,MET,6708
76,FLT1,3420
77,FLT1,5017
78,FLT1,5765
79,KDR,7894
80,KDR,4471
81,KDR,6371
82,PDGFRA,7469
83,PDGFRA,10602
84,PDGFRA,4729
85,PDGFRB,5147
86,PDGFRB,5448
87,PDGFRB,6022
88,ALK,4491
89,ALK,11708
90,ALK,6437
91,ROS1,12268
92,ROS1,12973
93,ROS1,9167
94,RET,11332
95,RET,12748
96,RET,7514
97,FGFR1,3780
98,FGFR1,2181
99,FGFR1,2659
100,FGFR2,8947
101,FGFR2,3874
102,FGFR2,5423
103,FGFR3,19420
104,FGFR3,12119
105,FGFR3,13166
106,PIK3R1,10098
107,PIK3R1,10785
108,PIK3R1,18054
109,PDK1,2338
110,PDK1,3384
111,PDK1,4035
112,PGR,3620
113,PGR,12399
114,PGR,10096
115,AR,13004
116,AR,2786
117,AR,11232
118,SRC,11790
119,SRC,13179
120,SRC,7298
121,ILK,6814
122,ILK,2210
123,ILK,1895
124,PTK2,2691
125,PTK2,4693
126,PTK2,10010
127,KRAS,10153
128,KRAS,4346
129,KRAS,5815
130,NRAS,7611
131,NRAS,7371
132,NRAS,14795
133,HRAS,5188
134,HRAS,11152
135,HRAS,7646
136,ARAF,10590
137,ARAF,6556
138,ARAF,8348
139,BRAF,9599
140,BRAF,19664
141,BRAF,4262
142,RAF1,9611
143,RAF1,7033
144,RAF1,4875
145,TGFBR1,3493
146,TGFBR1,13898
147,TGFBR1,6950
148,TGFBR2,6032
149,TGFBR2,11150
150,TGFBR2,11562
151,TGFBR3,14111
152,TGFBR3,6131
153,TGFBR3,14705
154,YAP1,13409
155,YAP1,5769
156,YAP1,8351
157,MYC,3887
158,MYC,7503
159,MYC,6641
160,MYCN,7903
161,MYCN,10864
162,MYCN,10434
163,MDM2,10694
164,MDM2,6558
165,MDM2,6215
166,TP53,5694
167,TP53,9902
168,TP53,4640
169,BRCA1,1261
170,BRCA1,13437
171,BRCA1,7401
172,BRCA2,7862
173,BRCA2,7479
174,BRCA2,4999
175,PARP1,10670
176,PARP1,2998
177,PARP1,8736
178,PARP2,9138
179,PARP2,17672
180,PARP2,11080
181,CDK12,9790
182,CDK12,3169
183,CDK12,2785
184,CHEK1,4179
185,CHEK1,16683
186,CHEK1,13023
187,ATG4B,7017
188,ATG4B,5618
189,ATG4B,2430
190,CA9,6055
191,CA9,10980
192,CA9,14242
